# num_vertices: 51842
# num_edges: 426124
# min_x: -71.6522
# min_y: -122.577
# min_z: -30.2009
# Offset added
# min_x: 0
# min_y: 0
# min_z: 0
# min vertex degree: 6
# max vertex degree: 1246
# Vertices: 51842
# Add offset (x y z) to get original positions: (-71.652210 -122.577140 -30.200880)
# Position (x y z)	Area
19.370560 54.467470 63.900310 	lh.bankssts
17.849990 54.501960 64.244110 	lh.bankssts
18.383060 62.295130 58.847790 	lh.bankssts
17.755140 62.326320 60.950440 	lh.bankssts
15.122960 69.274980 54.826630 	lh.bankssts
25.721520 46.915200 58.538670 	lh.inferiorparietal
20.242810 53.682150 64.005190 	lh.inferiorparietal
20.457590 55.173150 64.025810 	lh.inferiorparietal
17.330910 55.865750 64.861700 	lh.bankssts
16.370750 68.235750 54.584350 	lh.bankssts
21.180840 68.044110 53.177740 	lh.bankssts
17.190740 53.148400 63.912640 	lh.middletemporal
8.260020 55.370490 66.462580 	lh.bankssts
8.209360 53.924820 66.473450 	lh.middletemporal
6.886310 55.897600 66.015780 	lh.middletemporal
9.863890 56.268970 66.464190 	lh.middletemporal
15.192620 56.749320 65.386710 	lh.bankssts
15.936060 55.672110 65.197630 	lh.bankssts
16.019340 58.354550 65.056180 	lh.bankssts
13.511870 56.692470 65.608020 	lh.middletemporal
15.212660 54.130600 65.126590 	lh.middletemporal
20.122660 56.418210 64.148540 	lh.bankssts
18.518650 57.076310 64.640990 	lh.bankssts
21.239720 57.226020 63.721400 	lh.bankssts
16.361740 61.847840 61.046430 	lh.bankssts
16.356150 61.608800 59.518330 	lh.bankssts
18.564080 62.366150 60.559760 	lh.bankssts
16.818660 62.025300 59.183630 	lh.bankssts
23.308710 64.115780 74.862400 	lh.superiortemporal
20.101140 69.682060 67.905790 	lh.superiortemporal
17.950510 58.487890 64.646270 	lh.bankssts
14.227950 56.319110 67.945430 	lh.bankssts
13.126050 56.990400 68.066890 	lh.bankssts
14.451540 57.702820 67.650210 	lh.bankssts
14.766320 54.668450 67.043120 	lh.supramarginal
7.548160 54.883350 67.466960 	lh.bankssts
6.377380 56.155510 68.073890 	lh.bankssts
8.781210 55.417270 66.947820 	lh.middletemporal
7.512610 53.336940 68.598150 	lh.supramarginal
6.399820 57.622720 67.645890 	lh.bankssts
6.010380 55.736200 69.733130 	lh.superiortemporal
15.116030 59.391270 64.661700 	lh.bankssts
21.217850 56.555800 63.763120 	lh.bankssts
19.216850 56.689320 64.654650 	lh.bankssts
20.610210 57.509180 63.834090 	lh.bankssts
16.564310 59.739290 64.905630 	lh.bankssts
15.489210 61.542610 62.449040 	lh.bankssts
18.148190 62.175790 56.868040 	lh.bankssts
13.781630 72.224940 53.462380 	lh.bankssts
43.724560 53.115700 47.256890 	lh.fusiform
27.949080 59.811460 40.586630 	lh.fusiform
22.318460 48.442530 55.997000 	lh.inferiorparietal
27.101610 49.674790 45.880110 	lh.inferiortemporal
29.738380 65.855050 70.556590 	lh.superiortemporal
30.680120 66.671350 69.352110 	lh.superiortemporal
32.342970 66.719050 68.960590 	lh.superiortemporal
19.698610 68.756410 67.852630 	lh.superiortemporal
23.336240 68.682830 67.934800 	lh.superiortemporal
15.231780 69.967330 67.866160 	lh.superiortemporal
12.368480 71.490890 67.211550 	lh.superiortemporal
32.934970 70.505140 65.574090 	lh.superiortemporal
25.494270 70.573110 67.961270 	lh.superiortemporal
22.254780 69.786170 68.165920 	lh.superiortemporal
25.000410 71.760740 68.044950 	lh.superiortemporal
25.671650 73.359760 67.824640 	lh.superiortemporal
23.585990 72.335210 68.784880 	lh.superiortemporal
22.398190 71.465370 68.891450 	lh.superiortemporal
23.598510 74.251620 68.824410 	lh.superiortemporal
24.594710 74.869250 68.226240 	lh.superiortemporal
15.854070 70.757160 67.528700 	lh.superiortemporal
22.567610 75.204280 69.090460 	lh.superiortemporal
24.724110 76.305110 67.485010 	lh.superiortemporal
2.649490 77.596930 57.872780 	lh.superiortemporal
2.190930 79.427920 60.148320 	lh.superiortemporal
2.248010 79.131620 58.738740 	lh.superiortemporal
32.333480 67.584290 67.588910 	lh.supramarginal
23.138380 66.346350 70.799680 	lh.supramarginal
22.974870 67.800450 69.917310 	lh.supramarginal
24.163200 69.110250 69.601400 	lh.supramarginal
11.810060 56.457990 67.386760 	lh.bankssts
13.349640 58.374090 67.770540 	lh.bankssts
10.651060 57.765550 67.134140 	lh.bankssts
11.249220 54.525290 66.982150 	lh.supramarginal
18.940110 55.025260 65.073180 	lh.bankssts
20.646680 66.709230 53.139420 	lh.bankssts
17.582360 53.838860 65.719360 	lh.inferiorparietal
20.088670 54.252000 64.784760 	lh.inferiorparietal
15.720230 60.665100 63.752160 	lh.bankssts
13.550770 59.326260 64.600730 	lh.middletemporal
18.613980 60.014240 63.768610 	lh.bankssts
14.366270 60.980740 62.860890 	lh.bankssts
17.287000 61.154720 63.268630 	lh.bankssts
14.770620 61.327200 61.539470 	lh.bankssts
13.719380 60.979400 59.947060 	lh.bankssts
13.110630 60.359400 63.454040 	lh.middletemporal
