Step;Fired;Refrac;x;Ca;SynapticInput;background;axons;axons_connected;dendrites_exc;dendrites_exc_connected;dendrites_inh;dendrites_inh_connected
0;0;0;0.05;0.0059688327;0;0;1.1376764;0;1.1680439;0;1.1033041;0
1;0;3;0.051094417;0.013876082;0;0;1.1366766;1;1.1676388;1;1.1033169;0
2;0;0;0.050057733;0.020712762;0;0;1.1356768;1;1.1672565;1;1.1033543;0
3;0;0;0.050725625;0.026482756;0;0;1.1346772;1;1.1669006;1;1.1034199;0
4;0;0;0.050324119;0.031198693;0;0;1.1336775;1;1.1665703;1;1.1035124;0
5;0;0;0.076887093;0.03586778;0;0;1.132678;1;1.1662611;1;1.1036267;0
6;0;3;0.052509537;0.043465788;0;0;1.1316785;1;1.1659706;1;1.10376;0
7;0;2;0.056705751;0.049011596;0;0;1.1306792;1;1.1657091;1;1.1039224;0
8;0;0;0.052592516;0.055486334;0;0;1.12968;1;1.1654689;1;1.1041059;0
9;1;4;0.053172498;0.059920348;0;0;1.128681;1;1.1652585;1;1.1043186;0
