#step: creations deletions netto
100: 77 0 77
#step: creations deletions netto
100: 77 0 77
200: 12 0 12
300: 14 0 14
400: 1 0 1
500: 0 0 0
600: 0 0 0
700: 0 0 0
800: 0 0 0
900: 0 0 0
1000: 0 0 0
#step: creations deletions netto
100: 77 0 77
200: 12 0 12
300: 14 0 14
400: 1 0 1
500: 0 0 0
600: 0 0 0
700: 0 0 0
800: 0 0 0
900: 0 0 0
1000: 0 0 0
#step: creations deletions netto
100: 72 0 72
200: 18 0 18
300: 13 0 13
400: 0 0 0
500: 0 0 0
600: 0 0 0
700: 0 0 0
800: 0 0 0
900: 0 0 0
1000: 0 0 0
#step: creations deletions netto
100: 72 0 72
200: 18 0 18
300: 13 0 13
400: 0 0 0
500: 0 0 0
600: 0 0 0
700: 0 0 0
800: 0 0 0
900: 0 0 0
1000: 0 0 0
#step: creations deletions netto
100: 77 0 77
200: 12 0 12
300: 14 0 14
400: 1 0 1
500: 0 0 0
600: 0 0 0
700: 0 0 0
800: 0 0 0
900: 0 0 0
1000: 0 0 0
