
======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
TIMERS: main()
  Initialization                               :              0.7353259 |               0.735422 |              0.7355181
    Load Synapses                              :                4.8e-06 |               5.95e-06 |                7.1e-06
    Translate Global IDs                       :               1.71e-05 |              2.125e-05 |               2.54e-05
    Initialize Network Graph                   :                  5e-07 |                6.5e-07 |                  8e-07
  Simulation loop                              :              0.0528752 |             0.05305535 |              0.0532355
    Update electrical activity                 :              0.0068797 |              0.0071574 |              0.0074351
      Prepare sending spikes                   :               9.18e-05 |              9.295e-05 |               9.41e-05
      Exchange neuron ids                      :              0.0013724 |             0.00168295 |              0.0019935
      Calculate serial activity setup          :              0.0007743 |              0.0007848 |              0.0007953
      Calculate synaptic background            :               4.66e-05 |               4.68e-05 |                4.7e-05
      Calculate synaptic input                 :              0.0008353 |             0.00083705 |              0.0008388
      Calculate activity                       :              0.0032799 |               0.003297 |              0.0033141
    Update #synaptic elements delta            :              0.0012527 |              0.0012566 |              0.0012605
    Connectivity update                        :              0.0440303 |              0.0440678 |              0.0441053
      Delete synapses                          :              0.0001161 |             0.00011615 |              0.0001162
        Commit #synaptic elements              :               5.52e-05 |              5.525e-05 |               5.53e-05
        Find synapses to delete                :               1.73e-05 |              1.805e-05 |               1.88e-05
        Exchange deletions (w/ alltoall)       :                2.2e-06 |                2.2e-06 |                2.2e-06
        Process deletion requests              :                2.2e-06 |                2.2e-06 |                2.2e-06
      Update leaf nodes                        :              0.0001043 |             0.00011065 |               0.000117
      Update local trees                       :              0.0006255 |             0.00062765 |              0.0006298
      Exchange branch nodes (w/ Allgather)     :                9.4e-06 |              1.405e-05 |               1.87e-05
      Insert branch nodes into global tree     :                  6e-07 |                  6e-07 |                  6e-07
      Update global tree                       :                7.8e-06 |               8.15e-06 |                8.5e-06
      Find target neurons (w/ RMA)             :              0.0241154 |               0.032834 |              0.0415526
        FMM: Calculate Taylor Coefficients     :                      0 |                      0 |                      0
        FMM: Calculate Hermite Coefficients    :                      0 |                      0 |                      0
      Empty remote nodes cache                 :              0.0001469 |             0.00015175 |              0.0001566
      Create synapses                          :              0.0430054 |             0.04302565 |              0.0430459
        Create synapses Exchange Requests      :              0.0001118 |                0.00883 |              0.0175482
        Create synapses Process Requests       :              0.0009028 |             0.00092185 |              0.0009409
        Create synapses Exchange Responses     :              0.0001198 |             0.00014745 |              0.0001751
        Create synapses Process Responses      :              0.0002783 |             0.00028945 |              0.0003006
      Add synapses in local network graphs     :              0.0001031 |              0.0001034 |              0.0001037




======== TIMERS GLOBAL OVER ALL RANKS ========
                                                (                   min |                    avg |                    max) sec.
TIMERS: main()
  Initialization                               :              0.7180281 |              0.7181529 |              0.7182777
    Load Synapses                              :                6.6e-06 |                7.4e-06 |                8.2e-06
    Translate Global IDs                       :               2.35e-05 |              2.615e-05 |               2.88e-05
    Initialize Network Graph                   :                  9e-07 |                  1e-06 |                1.1e-06
  Simulation loop                              :              0.2303652 |              0.2305548 |              0.2307444
    Update electrical activity                 :              0.1406473 |             0.14193485 |              0.1432224
      Prepare sending spikes                   :              0.0034771 |              0.0036847 |              0.0038923
      Exchange neuron ids                      :              0.0269843 |              0.0307568 |              0.0345293
      Calculate serial activity setup          :              0.0077479 |               0.007807 |              0.0078661
      Calculate synaptic background            :              0.0005296 |             0.00053885 |              0.0005481
      Calculate synaptic input                 :              0.0579942 |              0.0609589 |              0.0639236
      Calculate activity                       :              0.0327074 |              0.0328065 |              0.0329056
    Update #synaptic elements delta            :              0.0126606 |             0.01267345 |              0.0126863
    Connectivity update                        :               0.070444 |              0.0704623 |              0.0704806
      Delete synapses                          :               0.000955 |             0.00095805 |              0.0009611
        Commit #synaptic elements              :              0.0003983 |              0.0004144 |              0.0004305
        Find synapses to delete                :              0.0001148 |             0.00011625 |              0.0001177
        Exchange deletions (w/ alltoall)       :               1.79e-05 |              1.845e-05 |                1.9e-05
        Process deletion requests              :               1.79e-05 |              1.845e-05 |                1.9e-05
